company,category,location_signal,services,tech_stack_public_signal,tech_stack_assessment,confidence,sources
Port of Antwerp-Bruges,port_authority,"Antwerp and Zeebrugge platforms","Landlord, operator, regulator, community builder, port infrastructure, digital port products","APICS, APICA digital twin, smart cameras, NxtPort, ZEDIS, ETA Terminal Tool, Terminal API, IRP ecosystem","High digital maturity: port community systems, operational planning, APIs, data sharing, digital twin and camera infrastructure",high,"S01;S02;S03;S04"
NxtPort / RX-SeaPort,port_data_platform,"Antwerp-Bruges / Zeebrugge community","Data sharing, customs workflows, port community integrations","NxtPort, RX/SeaPort, customs export/import/transit coordination, IRP","Core integration layer for customs and logistics data. Likely API/event-driven platform with identity, permissions and partner connectors",medium,"S01;S03;S21;S22"
ECS / 2XL,intermodal_logistics,"HQ Zeebrugge","UK/Ireland and European mainland transport, intermodal, rail, warehousing, temperature controlled, Brexit/customs","Microsoft Analytics / Reporting Services case; public sustainability/intermodal metrics","Likely TMS/WMS/BI stack, rail planning, customer portals, customs integrations. Observed Microsoft BI signal",medium,"S10;S11"
NDQ Logistics,intermodal_warehouse,"Port of Zeebrugge","UK/Ireland consignments, warehousing, unaccompanied transport, Brexit-proof support","Modern fleet, rail-connected warehouse; no vendor named","Likely WMS/TMS, customs tooling, carrier/ferry integrations and customer visibility portal",low,"S19"
International Car Operators (ICO),automotive_terminal,"Zeebrugge and Antwerp","RoRo, vehicle processing, ship agency, customs/fiscal representation, door-to-door vehicle logistics","No vendor named; terminal and customs services are explicit","Likely TOS/YMS, vehicle inventory systems, EDI/API with OEMs, customs integrations, gate/camera systems",medium,"S15;S06"
Wallenius Wilhelmsen Zeebrugge,automotive_roro,"Zeebrugge terminal/operator signal","RoRo and automotive logistics","No specific public stack in seed sources","Likely automotive terminal systems, global shipping EDI, customer visibility and yard management",low,"S06"
MOSOLF Carcenter Zeebrugge,automotive_services,"Carcenter in Port of Zeebrugge","Vehicle logistics, handling, storage, transport, automotive services","No vendor named","Likely VMS/YMS, damage inspection workflows, customer/OEM portals and transport planning",low,"S18"
PSA Zeebrugge,terminal_operator,"Zeebrugge","Intermodal hub, logistics/distribution, paper producers, inland shipping link","No vendor named in seed source","Likely terminal operating system, EDI, rail/barge planning, yard/gate integrations",medium,"S16"
CSP Zeebrugge Terminal,container_terminal,"Deepsea terminal Bruges/Zeebrugge","Container terminal, deepsea handling, multimodal access","ZPMC crane infrastructure; no software vendor named","Likely container TOS, crane OCR/automation options, EDI/API with lines, Port Community System integrations",medium,"S08;S17"
Fluxys LNG Terminal Zeebrugge,energy_logistics,"Zeebrugge","LNG terminal and energy logistics","Operational energy terminal systems not detailed in seed","Likely SCADA/OT, nominations/scheduling, safety systems, compliance reporting",low,"S04"
Alltraco,forwarder_customs_broker,"Zeebrugge and Brussels airport","Forwarding, AEO customs broker, air/sea/road/multimodal, consulting","AEO/customs capability; no vendor named","Likely customs declaration software, freight forwarding TMS, document management, customer communication tools",medium,"S12"
Notman Logistics,road_transport_warehouse,"Zeebrugge","Full-load/groupage road freight, terminal trucks, warehousing","No vendor named","Likely fleet planning, basic WMS, telematics, invoicing/accounting",low,"S13"
Dens Ocean Shipping & Logistics,shipping_forwarding,"Port of Zeebrugge","Maritime transport for RoRo, containers and conventional freight, Africa focus","No vendor named","Likely freight forwarding TMS, shipping schedules, documentation and customs integrations",low,"S14"
RBZ,shipping_agent,"Zeebrugge/Ostend","Shipping agency and flexible cargo solutions","No vendor named","Likely vessel agency software, port-call workflows, APICS/ZEDIS interactions, documentation systems",low,"S20"
Herfurth Logistics / M-Star Freight,freight_forwarder,"Zeebrugge office","International freight forwarding and logistics","No vendor named","Likely forwarding TMS, customs, EDI with carriers and customer portal",low,"S09"
DFDS,shipping_ferry,"Zeebrugge route/operator signal","Freight ferry / shortsea connections","No seed vendor detail","Likely booking systems, EDI/API, trailer/driverless freight planning, port integrations",low,"S09"
CLdN,shortsea_roro,"Zeebrugge route/operator signal","Shortsea RoRo and logistics","No seed vendor detail","Likely booking, RoRo terminal planning, EDI/API, customs/Brexit workflows",low,"S09"
C.RO Ports / C.RO Terminal,terminal_operator,"Zeebrugge terminal signal","RoRo terminal operations","No seed vendor detail","Likely RoRo terminal operating and yard systems, gate OCR, customer integrations",low,"S09"
UECC,automotive_shipping_terminal,"Zeebrugge terminal operations signal","Vehicle import/export terminals, RoRo port handling, vehicle logistics","Public site mentions advanced digital solutions but no vendor","Likely automotive terminal software, voyage/vehicle visibility, EDI/API with OEMs and ports",medium,"S09"
K Line European Sea Highway Services (KESS),shortsea_automotive,"Zeebrugge automotive feeder signal","Shortsea feeder traffic between automotive terminals","No seed vendor detail","Likely shipping operations, automotive EDI, route planning and customer visibility",low,"S09"
