company,target_area,observed_products_or_platforms,evidence_summary,confidence,source_ids,next_research_action
CSP Zeebrugge Terminal,container_terminal_tos,Navis N4; Kaleris/Navis N4; Expert Decking; PrimeRoute; VBS web application,"Observed public deployment of Navis N4 for CSP Zeebrugge plus CSP VBS manual and Kaleris TOS product context. This is the strongest company-level vendor proof in the dataset.",high,S31;S43;S44;S45,"Scrape CSP careers and procurement pages for current TOS-connected application stack and OCR/gate vendors."
ECS / 2XL,intermodal_logistics_it,.NET; Angular; C#; MS SQL Server; TSQL; ASP.NET Core; Azure; Docker; Kubernetes; event-driven architecture; domain-driven design,"Official ECS vacancy shows in-house logistics applications, customer/supplier interfaces and a concrete Microsoft/cloud engineering stack.",high,S38,"Search additional ECS vacancies for WMS TMS BI EDI customs and warehouse automation platform names."
UECC,automotive_terminal_management,Vehicle Distribution and Terminal Management System; web-based tracking; OEM IT integration,"UECC publicly describes real-time vehicle movement visibility, web tracking, OEM/customer IT integration and VDTMS for terminal operations including Zeebrugge.",high,S41,"Check whether Zeebrugge-specific UECC terminal pages or vacancies name the VDTMS vendor or integration partners."
Port of Antwerp-Bruges,port_community_and_data_layer,APICS; ZEDIS; IRP; Open Data; ETA Terminal Tool; Terminal API; Routescanner; E2E Rail Trans Port Manager,"Official digital-products page names mandatory port-community systems and operational applications used by port users across Antwerp and Zeebrugge.",high,S02;S03;S34;S35;S36,"Collect product-specific pages for Terminal API RTP ZEDIS IRP and Certified Pick up into Firecrawl outputs."
NxtPort / RX-SeaPort,customs_and_data_platform,NxtPort; RX-SeaPort; IRP,"Public sources describe NxtPort/RX-SeaPort integration and IRP customs release workflows for Belgian seaports.",medium,S21;S22;S36,"Find technical documentation or partner pages naming APIs authentication onboarding and software-provider integrations."
International Car Operators (ICO),automotive_terminal_stack,Automated multilevel finished-vehicle parking project; no named software vendor observed,"ICO is confirmed as a RoRo/automotive terminal operator with customs and PDI services. NYK adds strong automation evidence for a Zeebrugge finished-vehicle parking facility, but the TOS/YMS/VMS vendor remains unnamed.",high,S15;S27;S23;S48,"Scrape ICO careers news and APZI profile detail for vehicle processing system gate customs and IT vacancy signals."
CLdN,shortsea_roro_stack,EDI Engineer role; cargo planning; scheduling; customs compliance; no named TMS vendor observed,"CLdN route/network evidence plus official careers pages confirm EDI and operational-planning role families. Booking, TMS and terminal-system vendors remain unnamed.",high,S39;S42;S46;S47,"Scrape CLdN booking portal, EDI docs and IT/security vacancies for platform names."
DFDS,freight_booking_and_customs_stack,No named software vendor observed; Zeebrugge freight routes observed,"DFDS public sources confirm Zeebrugge freight route exposure. Booking TMS customs and driverless-freight systems remain inferred, not vendor-proven.",medium,S39;S40,"Scrape DFDS freight booking support developer and customs/Brexit pages for platform names and integration language."
C.RO Ports / C.RO Terminal,roro_terminal_stack,No named operational vendor observed; C.RO Zeebrugge terminal links observed,"Routescanner and APZI evidence confirm terminal-network context. TOS YMS gate OCR and customer integration vendors remain open research targets.",medium,S42;S23,"Scrape C.RO/CLdN ports pages and vacancies for terminal operating gate yard and automotive workflow systems."
Alltraco,forwarder_customs_stack,AEO/customs capability; no named customs software vendor observed,"Alltraco public evidence confirms forwarding and customs-broker role, but CargoWise Descartes or Belgian customs software vendors are not verified.",medium,S12,"Search customs declarant vacancies vendor cases and software-provider references for Alltraco."
RBZ,shipping_agent_stack,No named agency software observed; APICS/ZEDIS interaction inferred,"RBZ is a shipping-agent workflow target where port-call documentation and PCS usage are likely, but no named vendor is public in current sources.",low,S20,"Search job posts and customer portal pages for vessel agency software and EDI/documentation systems."
Herfurth Logistics / M-Star Freight,forwarding_customs_stack,No named forwarding or customs vendor observed,"APZI and company context indicate freight forwarding and customs-relevant workflows. Vendor proof still needs job/vendor-case evidence.",low,S09,"Scrape Herfurth vacancies and vendor case studies for TMS customs EDI and customer portal signals."
