company,domain,status,signals,error
Port of Antwerp-Bruges,portofantwerpbruges.com,ok,Cloudflare;Drupal;Next.js;React;Google Tag Manager;Google Analytics;Bootstrap,
NxtPort / RX-SeaPort,nxtport.com,ok,WordPress;Vue,
ECS / 2XL,ecs2xl.com,ok,Cloudflare;Drupal;Google Tag Manager;Google Analytics,
NDQ Logistics,ndq.be,ok,"WordPress;Google Tag Manager;Google Analytics;Cookiebot;jQuery;generator:Site Kit by Google 1.180.0;generator:Elementor 4.0.9; features: e_font_icon_svg; settings: css_print_method-internal, google_font-enabled, font_display-swap",
International Car Operators (ICO),icoterminals.com,ok,Drupal;Google Tag Manager,
Wallenius Wilhelmsen Zeebrugge,walleniuswilhelmsen.com,ok,Google Tag Manager;Cookiebot,
MOSOLF Carcenter Zeebrugge,mosolf-ports.com,ok,"WordPress;jQuery;generator:WPML ver:4.9.4 stt:66,1,3;;generator:Powered by Slider Revolution 6.7.38 - responsive, Mobile-Friendly Slider Plugin for WordPress with comfortable drag and drop interface.;generator:WP Rocket 3.21.3",
PSA Zeebrugge,psa-zeebrugge.be,ok,Cloudflare;Drupal;Google Tag Manager;Google Analytics;generator:Drupal 10 (https://www.drupal.org),
CSP Zeebrugge Terminal,cspterminals.be,ok,"WordPress;Google Tag Manager;Google Analytics;jQuery;generator:WordPress 7.0;generator:WPML ver:4.9.4 stt:60,1;;generator:Powered by WPBakery Page Builder - drag and drop page builder for WordPress.;generator:Powered by Slider Revolution 6.7.56 - responsive, Mobile-Friendly Slider Plugin for WordPress with comfortable drag and drop interface.",
Fluxys LNG Terminal Zeebrugge,fluxys.com,ok,React;Google Tag Manager;Google Analytics;OneTrust;Bootstrap,
Alltraco,alltraco.com,ok,Google Tag Manager;Bootstrap,
Notman Logistics,notmanlogistics.be,failed,,HTTP Error 503: Service Temporarily Unavailable
Dens Ocean Shipping & Logistics,densocean.net,ok,,
RBZ,rbz.be,ok,Cloudflare;Google Tag Manager;jQuery,
Herfurth Logistics / M-Star Freight,herfurth-logistics.com,ok,Vue;Google Tag Manager;Google Analytics;jQuery,
DFDS,dfds.com,ok,React;Google Tag Manager,
CLdN,cldn.com,ok,Next.js;React;Google Tag Manager;Google Analytics;Cookiebot;OneTrust,
C.RO Ports / C.RO Terminal,cldn.com,ok,Next.js;React;Google Tag Manager;Google Analytics;Cookiebot;OneTrust,
UECC,uecc.com,ok,Cloudflare;WordPress;Google Tag Manager;generator:WP Rocket 3.21.3,
K Line European Sea Highway Services (KESS),klineurope.com,ok,Bootstrap;generator:Starfield Technologies; Go Daddy Website Builder 8.0.0000,
